human.External.Gene.Name,human.Ensembl.Gene.ID,danos_gene,LA_E14.5.norm.,LV_E14.5.norm.,RA_E14.5.norm.,RV_E14.5.norm.,LA_E14.5.reads.,LV_E14.5.reads.,RA_E14.5.reads.,RV_E14.5.reads.,e14.5_mean,e14.5_rank,Brain_E9.5.norm.,Brain_E9.5.reads.,brain_fpkm,brain_rank
CCND2,ENSG00000118971,CYL2,500.2234232,433.1510479,538.9302054,364.7830861,6382,5313,7148,4640,459.2719407,99.05724671,976.7906403,16846,8493.831655,99.99432076
RPL3,ENSG00000100316,Snord43,181.8424227,186.2883765,177.7082393,181.7626067,2320,2285,2357,2312,181.9004113,95.89959109,565.7453566,9757,7645.207522,99.98864153
HNRNPH1,ENSG00000169045,Hnrph1,369.4066113,394.8335263,335.9643251,377.5976644,4713,4843,4456,4803,369.4505318,98.64834166,1151.147132,19853,5404.446628,99.98296229
CCT6A,ENSG00000146731,Snora15,267.5121503,342.5749489,230.5607958,313.0530709,3413,4202,3058,3982,288.4252415,98.06905952,499.9920273,8623,4310.276097,99.97728305
NOP56,ENSG00000101361,Snord57,64.74217292,82.34190822,70.94758301,73.50693654,826,1010,941,935,72.88465017,87.09677419,199.8112636,3446,3171.607359,99.97160382
DGCR8,ENSG00000128191,Mir1306,41.85510937,44.51354643,41.7693528,38.28650064,534,546,554,487,41.60612731,76.51067697,157.9471509,2724,2224.607759,99.96592458
ABCA2,ENSG00000107331,Mir3087,34.48735603,35.70866911,34.45594626,32.15437117,440,438,457,409,34.20158564,72.23421172,104.9501994,1810,1874.110703,99.96024534
ACTG1,ENSG00000184009,Actg1,494.2665162,508.3186117,479.8951815,479.7998221,6306,6235,6365,6103,490.5700329,99.14811449,2907.410441,50142,1535.063591,99.95456611
ARHGAP23,ENSG00000225485,DQ716032,55.80681249,68.97153897,49.61053094,74.13587289,712,846,658,943,62.13118882,84.53543844,39.37082066,679,1514.262333,99.94888687
HSP90AB1,ENSG00000096384,Hsp90ab1,1690.89939,1757.632871,1595.90594,1667.467512,21573,21559,21167,21210,1677.976428,99.84098137,3581.295091,61764,1428.518186,99.94320763
CUX1,ENSG00000257923,Mir721,81.67232952,89.43472606,79.84430436,84.43470571,1042,1097,1059,1074,83.84651641,89.03907315,110.3426682,1903,1253.893957,99.9375284
HNRNPK,ENSG00000165119,Hnrpk,420.2754615,535.3039301,440.9908746,487.5042925,5362,6566,5849,6201,471.0186397,99.09132213,1313.616998,22655,1246.315938,99.93184916
EEF2,ENSG00000167658,Eef2,1158.14812,1236.43305,1107.038641,1243.80026,14776,15166,14683,15821,1186.355018,99.76147206,3500.176125,60365,1125.820561,99.92616992
HUWE1,ENSG00000086758,mKIAA0312,257.9497471,261.0483071,264.4135745,255.7412455,3291,3202,3507,3253,259.7882185,97.68855066,1534.302335,26461,1039.500227,99.92049069
ACTB,ENSG00000075624,Actb,2206.250222,2360.68544,2427.749387,2445.854869,28148,28956,32200,31111,2360.134979,99.89777374,1936.128236,33391,1024.948775,99.91481145
MEST,ENSG00000106484,Mest,1846.249253,1344.94501,2166.72863,1302.212724,23555,16497,28738,16564,1665.033904,99.83530214,2821.362874,48658,1024.088158,99.90913221
ADD1,ENSG00000087274,ADD1,208.5701237,189.2233356,228.2235215,197.5646326,2661,2321,3027,2513,205.8954034,96.53566561,436.6160229,7530,1001.412897,99.90345298
TUBB,ENSG00000196230,Tubb5,1561.650185,1891.90725,1513.347382,1678.70975,19924,23206,20072,21353,1661.403642,99.8296229,2538.113303,43773,959.5891504,99.89777374
RAB2A,ENSG00000104388,Rab2A,181.9208031,121.9638561,173.4106705,119.9696098,2321,1496,2300,1526,149.3162349,94.70127215,146.2344767,2522,943.4482369,99.8920945
HBE1,ENSG00000213931,Hbb-y,1251.577503,770.0191319,1000.654965,1067.933931,15968,9445,13272,13584,1022.546383,99.69900045,549.9158514,9484,888.3939441,99.88641527
ENO1,ENSG00000074800,Gm5506chr4+,752.0595026,963.9710127,742.1976696,1038.531157,9595,11824,9844,13210,874.1898355,99.64220809,1487.567605,25655,837.5943723,99.88073603
KANSL1,ENSG00000120071,mKIAA1267,61.37181767,60.08513501,68.53491281,62.26469919,783,737,909,792,63.06414117,84.80236256,229.3828667,3956,752.0749729,99.87505679
PLAGL1,ENSG00000118495,Zac1,479.2174882,384.7242227,488.7919029,376.6542598,6114,4719,6483,4791,432.3469684,98.9323035,367.0937637,6331,743.1047849,99.86937756
PTMA,ENSG00000187514,Ptma,650.4001827,801.8145222,596.3819145,728.3869166,8298,9835,7910,9265,694.245884,99.49454793,836.2965336,14423,701.5910517,99.86369832
HBZ,ENSG00000130656,Hba-x,608.2315519,370.3755337,488.1887353,419.421932,7760,4543,6475,5335,471.5544382,99.1026806,417.249522,7196,695.41587,99.85801908
PPIA,ENSG00000196262,Ppia,330.7650965,404.1275634,326.7660199,390.4122426,4220,4957,4334,4966,363.0177306,98.60858701,472.5078314,8149,634.2386999,99.85233985
MKNK2,ENSG00000099875,Mnk2,143.0441472,126.2847682,132.2444852,130.1898256,1825,1549,1754,1656,132.9408065,93.94025443,230.4265704,3974,629.5807934,99.84666061
EEF1A1,ENSG00000156508,Eef1a1,4131.03659,3753.160482,4212.145186,3475.816768,52705,46036,55867,44212,3893.039757,99.92616992,1116.704912,19259,624.2062111,99.84098137
CFL1,ENSG00000172757,Cfl1,1396.267637,1703.580707,1279.846144,1498.440867,17814,20896,16975,19060,1469.533839,99.81258519,647.850043,11173,547.1706444,99.83530214
AGAP5,ENSG00000172650,mKIAA1099,63.64484795,50.13888471,56.84854154,46.85575848,812,615,754,596,54.37200817,82.10472512,165.8908953,2861,528.3149531,99.80122672
AGAP6,ENSG00000204149,mKIAA1099,63.64484795,50.13888471,56.84854154,46.85575848,812,615,754,596,54.37200817,82.10472512,165.8908953,2861,528.3149531,99.80122672
AGAP4,ENSG00000188234,mKIAA1099,63.64484795,50.13888471,56.84854154,46.85575848,812,615,754,596,54.37200817,82.10472512,165.8908953,2861,528.3149531,99.80122672
AGAP8,ENSG00000174194,mKIAA1099,63.64484795,50.13888471,56.84854154,46.85575848,812,615,754,596,54.37200817,82.10472512,165.8908953,2861,528.3149531,99.80122672
AGAP7,ENSG00000204169,mKIAA1099,63.64484795,50.13888471,56.84854154,46.85575848,812,615,754,596,54.37200817,82.10472512,165.8908953,2861,528.3149531,99.80122672
AGAP1,ENSG00000157985,mKIAA1099,63.64484795,50.13888471,56.84854154,46.85575848,812,615,754,596,54.37200817,82.10472512,165.8908953,2861,528.3149531,99.80122672
ATP5B,ENSG00000110955,Atp5b,1515.562537,1831.332955,1436.745103,2159.452976,19336,22463,19056,27468,1735.773393,99.85233985,957.482123,16513,509.5700495,99.79554748
RPS5,ENSG00000083845,Rps5,474.5146669,554.6257442,446.2685907,536.0110089,6054,6803,5919,6818,502.8550027,99.18786915,374.7475904,6463,506.4156627,99.78986824
UBE4B,ENSG00000130939,Ufd2,136.146676,124.0020222,147.0220902,119.1834394,1737,1521,1950,1516,131.5885569,93.83802817,371.4425289,6406,492.6293487,99.784189
FUS,ENSG00000089280,Gm10167,659.8842056,743.8490798,644.1829428,657.0026403,8419,9124,8544,8357,676.2297171,99.47751022,548.466263,9459,485.3683743,99.77850977
TRIM28,ENSG00000130726,Trim28,193.2075741,204.2242377,187.0573363,190.4104816,2465,2505,2481,2422,193.7249074,96.23466606,1570.020193,27077,484.2751983,99.77283053
DHX30,ENSG00000132153,HELG,63.72322831,66.93337292,63.70957241,63.28672076,813,821,845,805,64.4132236,85.13743753,205.0877653,3537,481.4266792,99.76715129
CDK4,ENSG00000135446,Cdk4,233.3383157,285.0171398,214.5014598,251.6531592,2977,3496,2845,3201,246.1275186,97.43298501,638.0508255,11004,474.0347886,99.76147206
KDM1A,ENSG00000004487,mKIAA0601,77.75331179,79.48847576,76.37609095,76.65161832,992,975,1013,975,77.5673742,88.02248978,204.6818806,3530,466.2457416,99.75579282
TPT1,ENSG00000133112,Tpt1,415.8861616,495.8450355,453.2050175,507.0799366,5306,6082,6011,6450,468.0040378,99.07996365,402.637671,6944,450.3777081,99.75011358
SPTSSA,ENSG00000165389,Mir1892,60.9799159,61.71566785,59.26121173,55.11054814,778,757,786,701,59.26683591,83.7403453,35.3699567,610,442.1244588,99.74443435
LDHA,ENSG00000134333,Ldha,385.8664858,639.7395583,394.999349,718.5597861,4923,7847,5239,9140,534.7912948,99.2730577,831.7738178,14345,430.9708901,99.73875511
EIF5AL1,ENSG00000253626,Eif5a,295.729078,401.9263441,276.6277174,379.9561757,3773,4930,3669,4833,338.5598288,98.50068151,863.2008941,14887,427.9627636,99.72739664
EIF5A,ENSG00000132507,Eif5a,295.729078,401.9263441,276.6277174,379.9561757,3773,4930,3669,4833,338.5598288,98.50068151,863.2008941,14887,427.9627636,99.72739664
RPL8,ENSG00000161016,Rpl8,1080.551569,1382.284212,853.9344582,1187.117371,13786,16955,11326,15100,1125.971902,99.72739664,368.427385,6354,427.4099594,99.7217174
DAB1,ENSG00000173406,Y08382,0.313521418,0.815266418,0.226187831,0.314468178,4,10,3,4,0.417360961,23.98341663,39.71872187,685,401.1992108,99.71603816
NEDD4,ENSG00000069869,Nedd4,1198.04372,1165.260291,1255.267066,1073.122656,15285,14293,16649,13650,1172.923434,99.75011358,3160.508574,54507,400.2163573,99.71035893
IGF2BP3,ENSG00000136231,mimp3,110.6730607,113.4850854,113.2447074,105.8185418,1412,1392,1502,1346,110.8053488,92.21944571,383.4451208,6613,399.8384992,99.70467969
