chr,start,end,gene,transcript,strand,Ensembl_ID,lnTPM
chr1,12776117,12788726,AADACL3,NM_001103169,+,ENSG00000188984,0.0
chr1,12704565,12727097,AADACL4,NM_001013630,+,ENSG00000204518,0.009950330853168092
chr1,94458393,94586705,ABCA4,NM_000350,-,ENSG00000198691,0.2468600779315258
chr1,229652328,229694442,ABCB10,NM_012089,-,ENSG00000135776,1.0116009116784799
chr1,94883932,94944260,ABCD3,NM_001122674,+,ENSG00000117528,2.4672517145492794
chr1,179079715,179198819,ABL2,NM_001136001,-,ENSG00000143322,0.887891257352457
chr1,76190042,76229355,ACADM,NM_001127328,+,ENSG00000117054,3.5779478934066544
chr1,1227763,1243269,ACAP3,NM_030649,-,ENSG00000131584,1.4609379041156565
chr1,226332379,226374423,ACBD3,NM_022735,-,ENSG00000182827,2.075684492802124
chr1,180257351,180472022,ACBD6,NM_032360,-,ENSG00000135847,-inf
chr1,55013806,55100417,ACOT11,NM_015547,+,ENSG00000162390,0.3852624007906449
chr1,6324331,6453826,ACOT7,NM_007274,-,ENSG00000097021,1.3056264580524357
chr1,147119167,147142634,ACP6,NM_016361,-,ENSG00000162836,1.55814461804655
chr1,229566992,229569843,ACTA1,NM_001100,-,ENSG00000143632,0.08617769624105241
chr1,18081807,18153558,ACTL8,NM_030812,+,N/A,-inf
chr1,236849769,236927558,ACTN2,NM_001103,+,ENSG00000077522,0.03922071315328133
chr1,2938045,2939467,ACTRT2,NM_080431,+,ENSG00000169717,0.0
chr1,155023747,155035252,ADAM15,NR_048579,+,ENSG00000143537,1.1908875647772805
chr1,120436155,120439147,ADAM30,NM_021794,-,ENSG00000134249,0.0
chr1,161159537,161168845,ADAMTS4,NM_005099,-,ENSG00000158859,0.1570037488096647
chr1,150521897,150533412,ADAMTSL4,NM_019032,+,ENSG00000143382,0.3852624007906449
chr1,154554533,154600456,ADAR,NM_001025107,-,ENSG00000160710,2.8898160479624417
chr1,33546713,33585995,ADC,NM_052998,+,ENSG00000142920,1.085189268335969
chr1,227127937,227175246,ADCK3,NM_020247,+,ENSG00000163050,2.0149030205422647
chr1,167778624,167883453,ADCY10,NM_001167749,-,ENSG00000143199,0.10436001532424286
chr1,202909959,202927700,ADIPOR1,NR_046083,-,ENSG00000159346,3.119276459645446
chr1,203096835,203136533,ADORA1,NM_001048230,+,ENSG00000163485,0.23111172096338664
chr1,112025969,112106597,ADORA3,NM_001081976,-,ENSG00000121933,0.36464311358790924
chr1,36554452,36559533,ADPRHL2,NM_017825,+,ENSG00000116863,2.4790562361098245
chr1,244571793,244615436,ADSS,NM_001126,-,ENSG00000035687,2.3145136638593193
chr1,48998526,50489626,AGBL4,NM_032785,-,ENSG00000186094,0.17395330712343798
chr1,100315639,100389579,AGL,NM_000642,+,ENSG00000162688,1.7867469274045107
chr1,15898193,15911605,AGMAT,NM_024758,-,ENSG00000116771,1.3137236682850553
chr1,955502,991499,AGRN,NM_198576,+,ENSG00000188157,0.45107561936021656
chr1,230838271,230850336,AGT,NM_000029,-,ENSG00000135744,1.8500283773520307
chr1,11796141,11810828,AGTRAP,NM_020350,+,ENSG00000177674,2.301584592660462
chr1,247002401,247094726,AHCTF1,NM_015446,-,ENSG00000153207,2.2679936482244267
chr1,110527386,110566364,AHCYL1,NM_001242673,+,ENSG00000168710,2.556451816951096
chr1,27860755,27930143,AHDC1,NM_001029882,-,ENSG00000126705,0.8241754429663495
chr1,222841354,222885864,AIDA,NM_022831,-,ENSG00000186063,1.8931119634883424
chr1,26648349,26680621,AIM1L,NM_001039775,-,ENSG00000176092,0.01980262729617973
chr1,159032274,159046647,AIM2,NM_004833,-,ENSG00000163568,0.01980262729617973
chr1,4715104,4837854,AJAP1,NM_001042478,+,ENSG00000196581,0.06765864847381486
chr1,33476825,33502512,AK2,NM_001625,-,ENSG00000004455,3.58933532377755
chr1,65613231,65697828,AK4,NM_203464,+,ENSG00000162433,0.14842000511827322
chr1,77747661,78025654,AK5,NM_174858,+,ENSG00000154027,0.1823215567939546
chr1,39456915,39471737,AKIRIN1,NM_001136275,+,ENSG00000174574,2.517696472610991
chr1,109358519,109400864,AKNAD1,NR_049760,-,ENSG00000162641,0.06765864847381486
chr1,46016454,46035723,AKR1A1,NM_001202413,+,ENSG00000117448,3.292126286607793
chr1,19629201,19638640,AKR7A2,NM_003689,-,ENSG00000053371,2.8622008809294686
chr1,19609056,19615280,AKR7A3,NM_012067,-,ENSG00000162482,0.17395330712343798
chr1,243663020,244006886,AKT3,NM_001206729,-,ENSG00000117020,1.4422019930581866
chr1,19197923,19229293,ALDH4A1,NM_003748,-,ENSG00000159423,1.1908875647772805
chr1,165631448,165667900,ALDH9A1,NM_000696,-,ENSG00000143149,3.490428515390098
chr1,95448278,95538507,ALG14,NM_144988,-,ENSG00000172339,1.5151272329628591
chr1,63833260,63904233,ALG6,NM_013339,+,ENSG00000088035,1.4678743481123135
chr1,21835857,21904905,ALPL,NM_000478,+,ENSG00000162551,1.9035989509835904
chr1,110602996,110613322,ALX3,NM_006492,-,ENSG00000156150,0.04879016416943205
chr1,110049445,110052336,AMIGO1,NM_020703,-,ENSG00000181754,1.4445632692438664
chr1,115215719,115238239,AMPD1,NM_001172626,-,ENSG00000116748,0.0
chr1,110162434,110174677,AMPD2,NM_139156,+,ENSG00000116337,1.8357763546448294
chr1,104198140,104207173,AMY1A,NM_001008221,+,ENSG00000237763,0.0
chr1,104198324,104207172,AMY1B,NM_001008218,+,ENSG00000174876,0.0
chr1,104230040,104238911,AMY1C,NM_001008219,-,ENSG00000187733,0.0
chr1,104159998,104168400,AMY2A,NM_000699,+,ENSG00000243480,0.02955880224154443
chr1,104097321,104122149,AMY2B,NM_020978,+,ENSG00000240038,1.6900958154515549
chr1,213165523,213189168,ANGEL2,NM_144567,-,ENSG00000174606,2.154085084675602
chr1,178818669,178840215,ANGPTL1,NM_004673,-,ENSG00000116194,1.4469189829363254
chr1,63063186,63071180,ANGPTL3,NM_014495,+,ENSG00000132855,0.2468600779315258
chr1,11249397,11256038,ANGPTL7,NM_021146,+,ENSG00000171819,0.1310282624064042
chr1,70724684,70820417,ANKRD13C,NM_030816,-,ENSG00000118454,1.890095369948917
chr1,145470507,145475647,ANKRD34A,NM_001039888,+,ENSG00000181039,-inf
chr1,145549208,145568526,ANKRD35,NM_144698,+,ENSG00000198483,0.06765864847381486
chr1,173577474,173639001,ANKRD45,NM_198493,-,ENSG00000183831,0.08617769624105241
chr1,1353799,1356824,ANKRD65,NM_001145210,-,ENSG00000235098,0.03922071315328133
chr1,150190716,150208504,ANP32E,NM_001136478,-,ENSG00000143401,1.713797927758343
chr1,150954498,150968114,ANXA9,NM_003568,+,ENSG00000143412,0.26236426446749106
chr1,114437370,114447741,AP4B1,NM_001253853,-,ENSG00000134262,1.7191887763932197
chr1,159557615,159558661,APCS,NM_001639,+,ENSG00000132703,0.0
chr1,150237798,150241609,APH1A,NM_016022,-,ENSG00000117362,3.0430928449138284
chr1,10490158,10512060,APITD1-CORT,NM_199006,+,N/A,-inf
chr1,10490158,10502872,APITD1,NM_199294,+,ENSG00000175279,1.3635373739972745
chr1,156561557,156564091,APOA1BP,NM_144772,+,ENSG00000163382,2.740194654428777
chr1,161192082,161193418,APOA2,NM_001643,-,ENSG00000158874,0.09531017980432493
chr1,183615410,183622448,APOBEC4,NM_203454,-,ENSG00000173627,0.27763173659827955
chr1,154293591,154297801,AQP10,NM_080429,+,N/A,-inf
chr1,228270360,228286913,ARF1,NM_001024226,+,ENSG00000143761,3.6425737012374246
