chr,start,end,gene,transcript,strand,Ensembl_ID,lnTPM
chr1,12776117,12788726,AADACL3,NM_001103169,+,ENSG00000188984,0.0
chr1,12704565,12727097,AADACL4,NM_001013630,+,ENSG00000204518,0.0
chr1,94458393,94586705,ABCA4,NM_000350,-,ENSG00000198691,0.85015092936961
chr1,229652328,229694442,ABCB10,NM_012089,-,ENSG00000135776,3.3474449256629084
chr1,94883932,94944260,ABCD3,NM_001122674,+,ENSG00000117528,4.675162557808126
chr1,179079715,179198819,ABL2,NM_001136001,-,ENSG00000143322,2.1174596088673567
chr1,76190042,76229355,ACADM,NM_001127328,+,ENSG00000117054,4.111529386976201
chr1,1227763,1243269,ACAP3,NM_030649,-,ENSG00000131584,3.8858843478184513
chr1,226332379,226374423,ACBD3,NM_022735,-,ENSG00000182827,3.401863826205316
chr1,180257351,180472022,ACBD6,NM_032360,-,ENSG00000135847,-inf
chr1,55013806,55100417,ACOT11,NM_015547,+,ENSG00000162390,1.3506671834767394
chr1,6324331,6453826,ACOT7,NM_007274,-,ENSG00000097021,4.0472529546882505
chr1,147119167,147142634,ACP6,NM_016361,-,ENSG00000162836,3.0596455992976437
chr1,229566992,229569843,ACTA1,NM_001100,-,ENSG00000143632,2.5915163848462583
chr1,18081807,18153558,ACTL8,NM_030812,+,N/A,-inf
chr1,236849769,236927558,ACTN2,NM_001103,+,ENSG00000077522,0.23901690047049992
chr1,2938045,2939467,ACTRT2,NM_080431,+,ENSG00000169717,0.0
chr1,155023747,155035252,ADAM15,NR_048579,+,ENSG00000143537,3.305787196857497
chr1,120436155,120439147,ADAM30,NM_021794,-,ENSG00000134249,0.0
chr1,161159537,161168845,ADAMTS4,NM_005099,-,ENSG00000158859,0.797507195884188
chr1,150521897,150533412,ADAMTSL4,NM_019032,+,ENSG00000143382,2.631888840136646
chr1,154554533,154600456,ADAR,NM_001025107,-,ENSG00000160710,4.44464925915299
chr1,33546713,33585995,ADC,NM_052998,+,ENSG00000142920,0.8109302162163288
chr1,227127937,227175246,ADCK3,NM_020247,+,ENSG00000163050,4.38414938005486
chr1,167778624,167883453,ADCY10,NM_001167749,-,ENSG00000143199,0.0
chr1,202909959,202927700,ADIPOR1,NR_046083,-,ENSG00000159346,4.062165663857866
chr1,203096835,203136533,ADORA1,NM_001048230,+,ENSG00000163485,0.02955880224154443
chr1,112025969,112106597,ADORA3,NM_001081976,-,ENSG00000121933,0.0
chr1,36554452,36559533,ADPRHL2,NM_017825,+,ENSG00000116863,2.9595868269176377
